cn,mc,|256632.000000|279135.000000
ct,mc,|1193928.000000|37840.000000
k,mk,|10544.000000|34.000000
lt,ml,|1158.000000|150.000000
mc,mk,|6719220.000000|11000821.000000
mc,ml,|43026.000000|72944.000000
mc,t,|22.000000|2.000000
mk,ml,|288192.000000|1352182.000000
mk,t,|39.000000|9.000000
ml,t,|19.000000|1.000000
cn,ct,mc,|238782.000000|7699.000000
cn,mc,mk,|1609819.000000|2238225.000000
cn,mc,ml,|3349.000000|14841.000000
cn,mc,t,|7.000000|1.000000
ct,mc,mk,|5975292.000000|10412885.000000
ct,mc,ml,|36283.000000|69045.000000
ct,mc,t,|17.000000|2.000000
k,mc,mk,|14331.000000|25640.000000
k,mk,ml,|251.000000|3152.000000
k,mk,t,|1.000000|1.000000
lt,mc,ml,|2077.000000|2816.000000
lt,mk,ml,|7164.000000|52199.000000
lt,ml,t,|7.000000|1.000000
mc,mk,ml,|732182.000000|2008345.000000
mc,mk,t,|117.000000|13.000000
mc,ml,t,|57.000000|1.000000
mk,ml,t,|76.000000|1.000000
cn,ct,mc,mk,|1452850.000000|2082546.000000
cn,ct,mc,ml,|3058.000000|13809.000000
cn,ct,mc,t,|7.000000|1.000000
cn,k,mc,mk,|3359.000000|12.000000
cn,mc,mk,ml,|52826.000000|481168.000000
cn,mc,mk,t,|33.000000|3.000000
cn,lt,mc,ml,|487.000000|17.000000
cn,mc,ml,t,|57.000000|1.000000
ct,k,mc,mk,|11915.000000|45.000000
ct,mc,mk,ml,|610301.000000|1785988.000000
ct,mc,mk,t,|59.000000|12.000000
ct,lt,mc,ml,|1793.000000|181.000000
ct,mc,ml,t,|57.000000|1.000000
k,mc,mk,ml,|1173.000000|4283.000000
k,mc,mk,t,|3.000000|1.000000
k,lt,mk,ml,|64.000000|1.000000
k,mk,ml,t,|19.000000|1.000000
lt,mc,mk,ml,|19945.000000|93625.000000
lt,mc,ml,t,|21.000000|1.000000
lt,mk,ml,t,|28.000000|1.000000
mc,mk,ml,t,|228.000000|1.000000
cn,ct,k,mc,mk,|2826.000000|11.000000
cn,ct,mc,mk,ml,|44061.000000|434250.000000
cn,ct,mc,mk,t,|33.000000|3.000000
cn,ct,lt,mc,ml,|479.000000|15.000000
cn,ct,mc,ml,t,|57.000000|1.000000
cn,k,mc,mk,ml,|550.000000|1004.000000
cn,k,mc,mk,t,|3.000000|1.000000
cn,lt,mc,mk,ml,|2796.000000|264.000000
cn,mc,mk,ml,t,|228.000000|1.000000
cn,lt,mc,ml,t,|21.000000|1.000000
ct,k,mc,mk,ml,|1052.000000|3561.000000
ct,k,mc,mk,t,|3.000000|1.000000
ct,lt,mc,mk,ml,|16462.000000|3052.000000
ct,mc,mk,ml,t,|228.000000|1.000000
ct,lt,mc,ml,t,|21.000000|1.000000
k,lt,mc,mk,ml,|288.000000|6.000000
k,mc,mk,ml,t,|57.000000|1.000000
k,lt,mk,ml,t,|7.000000|1.000000
lt,mc,mk,ml,t,|84.000000|1.000000
cn,ct,k,mc,mk,ml,|520.000000|845.000000
cn,ct,k,mc,mk,t,|3.000000|1.000000
cn,ct,lt,mc,mk,ml,|2749.000000|220.000000
cn,ct,mc,mk,ml,t,|228.000000|1.000000
cn,ct,lt,mc,ml,t,|21.000000|1.000000
cn,k,lt,mc,mk,ml,|123.000000|3.000000
cn,k,mc,mk,ml,t,|57.000000|1.000000
cn,lt,mc,mk,ml,t,|84.000000|1.000000
ct,k,lt,mc,mk,ml,|269.000000|5.000000
ct,k,mc,mk,ml,t,|57.000000|1.000000
ct,lt,mc,mk,ml,t,|84.000000|1.000000
k,lt,mc,mk,ml,t,|21.000000|1.000000
cn,ct,k,lt,mc,mk,ml,|122.000000|3.000000
cn,ct,k,mc,mk,ml,t,|57.000000|1.000000
cn,ct,lt,mc,mk,ml,t,|84.000000|1.000000
cn,k,lt,mc,mk,ml,t,|21.000000|1.000000
ct,k,lt,mc,mk,ml,t,|21.000000|1.000000
cn,ct,k,lt,mc,mk,ml,t,|21.000000|1.000000
